+-------------------+------------------+
|       ReqId       | percent_complete |
| DMS-PRTL-REQ-0034 |        0         |
| DMS-PRTL-REQ-0035 |        0         |
| DMS-PRTL-REQ-0036 |        0         |
| DMS-PRTL-REQ-0037 |        0         |
| DMS-PRTL-REQ-0038 |       100        |
| DMS-PRTL-REQ-0039 |       100        |
| DMS-PRTL-REQ-0040 |        0         |
| DMS-PRTL-REQ-0041 |        0         |
| DMS-PRTL-REQ-0042 |        0         |
| DMS-PRTL-REQ-0043 |        0         |
| DMS-PRTL-REQ-0044 |        0         |
| DMS-PRTL-REQ-0045 |        0         |
| DMS-PRTL-REQ-0046 |        0         |
| DMS-PRTL-REQ-0047 |        0         |
| DMS-PRTL-REQ-0048 |        0         |
| DMS-PRTL-REQ-0049 |       100        |
| DMS-PRTL-REQ-0050 |       100        |
| DMS-PRTL-REQ-0051 |        0         |
| DMS-PRTL-REQ-0052 |        0         |
| DMS-PRTL-REQ-0053 |        0         |
| DMS-PRTL-REQ-0054 |       100        |
| DMS-PRTL-REQ-0055 |       100        |
| DMS-PRTL-REQ-0056 |        0         |
| DMS-PRTL-REQ-0057 |        0         |
| DMS-PRTL-REQ-0058 |        0         |
| DMS-PRTL-REQ-0059 |        0         |
| DMS-PRTL-REQ-0060 |        0         |
| DMS-PRTL-REQ-0061 |        0         |
| DMS-PRTL-REQ-0062 |        0         |
| DMS-PRTL-REQ-0063 |        0         |
| DMS-PRTL-REQ-0064 |        0         |
| DMS-PRTL-REQ-0065 |        0         |
| DMS-PRTL-REQ-0066 |        0         |
| DMS-PRTL-REQ-0067 |        0         |
| DMS-PRTL-REQ-0068 |        0         |
| DMS-PRTL-REQ-0069 |        0         |
| DMS-PRTL-REQ-0070 |        0         |
| DMS-PRTL-REQ-0071 |        0         |
| DMS-PRTL-REQ-0072 |        0         |
| DMS-PRTL-REQ-0073 |       100        |
| DMS-PRTL-REQ-0074 |        0         |
| DMS-PRTL-REQ-0075 |        0         |
| DMS-PRTL-REQ-0076 |        0         |
| DMS-PRTL-REQ-0077 |        0         |
| DMS-PRTL-REQ-0078 |       100        |
| DMS-PRTL-REQ-0079 |       100        |
| DMS-PRTL-REQ-0080 |       100        |
| DMS-PRTL-REQ-0081 |        0         |
| DMS-PRTL-REQ-0082 |        0         |
| DMS-PRTL-REQ-0083 |        0         |
| DMS-PRTL-REQ-0084 |        0         |
| DMS-PRTL-REQ-0085 |        0         |
| DMS-PRTL-REQ-0086 |        0         |
| DMS-PRTL-REQ-0087 |        0         |
| DMS-PRTL-REQ-0088 |        0         |
| DMS-PRTL-REQ-0089 |        0         |
| DMS-PRTL-REQ-0090 |        0         |
| DMS-PRTL-REQ-0091 |        0         |
| DMS-PRTL-REQ-0092 |        0         |
| DMS-PRTL-REQ-0093 |        0         |
| DMS-PRTL-REQ-0094 |        0         |
| DMS-PRTL-REQ-0095 |       100        |
| DMS-PRTL-REQ-0096 |        0         |
| DMS-PRTL-REQ-0097 |        0         |
| DMS-PRTL-REQ-0098 |        0         |
| DMS-PRTL-REQ-0099 |        0         |
| DMS-PRTL-REQ-0100 |        0         |
| DMS-PRTL-REQ-0101 |        0         |
| DMS-PRTL-REQ-0102 |        0         |
| DMS-PRTL-REQ-0103 |        0         |
| DMS-PRTL-REQ-0104 |        0         |
| DMS-PRTL-REQ-0105 |        0         |
| DMS-PRTL-REQ-0106 |       100        |
| DMS-PRTL-REQ-0107 |        0         |
| DMS-PRTL-REQ-0108 |        0         |
| DMS-PRTL-REQ-0109 |        0         |
| DMS-PRTL-REQ-0110 |        0         |
| DMS-PRTL-REQ-0111 |        0         |
| DMS-PRTL-REQ-0112 |        0         |
| DMS-PRTL-REQ-0113 |        0         |
| DMS-PRTL-REQ-0114 |        0         |
| DMS-PRTL-REQ-0115 |        0         |
| DMS-PRTL-REQ-0116 |        0         |
| DMS-PRTL-REQ-0117 |        0         |
| DMS-PRTL-REQ-0118 |        0         |
| DMS-PRTL-REQ-0119 |        0         |
| DMS-PRTL-REQ-0120 |        0         |
| DMS-PRTL-REQ-0121 |        0         |
| DMS-PRTL-REQ-0122 |        0         |
| DMS-PRTL-REQ-0123 |        0         |
| DMS-PRTL-REQ-0124 |        0         |
| DMS-PRTL-REQ-0125 |        0         |
| DMS-PRTL-REQ-0126 |        0         |
| DMS-PRTL-REQ-0127 |        0         |
+-------------------+------------------+
