Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-19804,301520,DMS-MWBT-REQ-0019-V-01: DataRepository Upload_1,Not Covered,1a
LVV-19805,292936,DMS-MWST-REQ-0025-V-01: Execution logging mechanism_1,Verified,
LVV-19806,292937,DMS-MWBT-REQ-0080-V-01: Dimension lookup: processing driven_1,Verified,1a
LVV-19807,292940,DMS-MWBT-REQ-0063-V-01: One Dataset to multiple output storage_1,Verified,1a
LVV-19808,301521,DMS-MWST-REQ-0026-V-01: Fine-grained provenance configuration_1,Not Covered,
LVV-19809,292938,DMS-MWST-REQ-0012-V-01: Implied inputs_1,Verified,
LVV-19810,292939,DMS-MWBT-REQ-0088-V-01: Filter by non-DatasetRef Database Entries_1,Verified,1a
LVV-19811,301522,DMS-MWBT-REQ-0072-V-01: Publishing to external microservices_1,Not Covered,1a
LVV-19812,301524,DMS-MWBT-REQ-0052-V-01: Input Staging_1,Not Covered,1b
LVV-19813,292941,DMS-MWBT-REQ-0008-V-01: LSST Data Ingest: science_1,Verified,1a
LVV-19814,292944,DMS-MWBT-REQ-0024-V-01: Registries of Collections_1,Verified,1a
LVV-19815,292943,DMS-MWBT-REQ-0061-V-01: Writing FITS images_1,Verified,1a
LVV-19816,301523,DMS-MWBT-REQ-0029-V-01: Science Platform VOSpace_1,Not Covered,1a
LVV-19817,292942,DMS-MWBT-REQ-0002-V-01: Versioning of DataRepositories_1,Verified,1a
LVV-19818,301527,DMS-MWBT-REQ-0094-V-01: Provenance tracing_1,Not Covered,1a
LVV-19819,292945,DMS-MWBT-REQ-0006-V-01: Dataset Garbage Collection_1,Verified,1a
LVV-19820,301525,DMS-MWBT-REQ-0040-V-01: Remote Input Storage_1,Not Covered,1a
LVV-19821,292946,DMS-MWBT-REQ-0071-V-01: Outputs from test processing runs_1,Verified,1a
LVV-19822,292947,DMS-MWBT-REQ-0036-V-01: Consistent Input Interface_1,Verified,1a
LVV-19823,292948,DMS-MWBT-REQ-0037-V-01: Accessing official Data Releases_1,Verified,1a
LVV-19824,292949,DMS-MWBT-REQ-0039-V-01: Access to outputs from test processing runs_1,Verified,1a
LVV-19825,301526,DMS-MWBT-REQ-0095-V-01: Dataset lookup: provenance driven_1,Not Covered,1a
LVV-19826,292950,DMS-MWBT-REQ-0033-V-01: Parameterized Subset of a Dataset_1,Verified,1a
LVV-19827,292951,DMS-MWBT-REQ-0022-V-01: Multiple Cameras_1,Verified,1b
LVV-19828,292952,DMS-MWBT-REQ-0076-V-01: Strong exception guarantee_1,Verified,1a
LVV-19829,301528,DMS-MWBT-REQ-0045-V-01: Metadata association_1,Not Covered,1a
LVV-19830,292953,DMS-MWBT-REQ-0077-V-01: Combining composite datasets for export_1,Verified,1a
LVV-19831,301529,DMS-MWBT-REQ-0065-V-01: Remote Output DataRepositories_1,Not Covered,1a
LVV-19832,301530,DMS-MWBT-REQ-0043-V-01: Read from the base EFD_1,Not Covered,1a
LVV-19833,292954,DMS-MWBT-REQ-0092-V-01: Introspection for DatasetExpressions_1,Verified,3
LVV-19834,301531,DMS-MWBT-REQ-0042-V-01: Read from transformed EFD_1,Not Covered,1a
LVV-19835,292955,DMS-MWBT-REQ-0021-V-01: Multiple simultaneous sky tile definitions_1,Verified,2
LVV-19836,301532,DMS-MWBT-REQ-0032-V-01: Reading persisted data_1,Not Covered,1a
LVV-19837,301533,DMS-MWBT-REQ-0027-V-01: Dataset Storage Elision_1,Not Covered,1a
LVV-19838,301535,DMS-MWBT-REQ-0091-V-01: DataRepository metadata lookup_1,Not Covered,1b
LVV-19839,301534,DMS-MWBT-REQ-0093-V-01: Provenance to raw data_1,Not Covered,2
LVV-19840,301536,DMS-MWBT-REQ-0010-V-01: Subsetting a DataRepository without data transfer_1,Not Covered,1a
LVV-19841,301537,DMS-MWBT-REQ-0069-V-01: Outputs from Alert Production_1,Not Covered,1a
LVV-19842,306028,DMS-MWBT-REQ-0015-V-01: Collection Layering: Data Release Production_1,In Verification,1a
LVV-19843,301538,DMS-MWST-REQ-0028-V-01: Round trip time for DIA Sources and DIA Objects_1,Not Covered,
LVV-19844,301539,DMS-MWST-REQ-0019-V-01: Mandatory supported specializations_1,Not Covered,
LVV-19845,292956,DMS-MWST-REQ-0020-V-01: Standardized framework implementation_1,Verified,
LVV-19846,301540,DMS-MWST-REQ-0024-V-01: Provenance discovery_1,Not Covered,
LVV-19847,292957,DMS-MWBT-REQ-0084-V-01: Data Discovery for Data Release Production_1,Verified,1a
LVV-19848,292960,DMS-MWBT-REQ-0083-V-01: Consistent Discovery Interface_1,Verified,1a
LVV-19849,292958,DMS-MWBT-REQ-0003-V-01: Repository version migration_1,Verified,2
LVV-19850,292959,DMS-MWST-REQ-0006-V-01: Dataset grouping_1,Verified,
LVV-19851,292961,DMS-MWBT-REQ-0085-V-01: Data Discovery for test processing runs_1,Verified,1a
LVV-19852,292962,DMS-MWBT-REQ-0001-V-01: Relocatability of DataRepositories_1,Verified,1a
LVV-19853,301541,DMS-MWST-REQ-0015-V-01: Programmatic insertions_1,Not Covered,
LVV-19854,301544,DMS-MWBT-REQ-0016-V-01: Collection Layering: Data Release Production intermediates to external hardware_1,Not Covered,1a
LVV-19855,301545,DMS-MWBT-REQ-0086-V-01: Data Discovery for notebook batch processing_1,Not Covered,1a
LVV-19856,292963,DMS-MWBT-REQ-0070-V-01: Outputs from Science Platform_1,Verified,1a
LVV-19857,292964,DMS-MWST-REQ-0016-V-01: Pre-execution overrides_1,Verified,
LVV-19858,306031,DMS-MWBT-REQ-0049-V-01: Reading raw data_1,In Verification,1a
LVV-19859,292965,DMS-MWST-REQ-0007-V-01: Changes of parallelization_1,Verified,
LVV-19860,292966,DMS-MWBT-REQ-0087-V-01: Dataset Overrides_1,Verified,1a
LVV-19861,292968,DMS-MWST-REQ-0010-V-01: Executable by supervisory framework_1,Verified,
LVV-19862,301542,DMS-MWBT-REQ-0056-V-01: Aliases to Selections on Catalogs_1,Not Covered,1a
LVV-19863,292967,DMS-MWST-REQ-0008-V-01: Use of Tasks and configurations_1,Verified,
LVV-19864,292971,DMS-MWST-REQ-0017-V-01: Pipeline specification definition_1,Verified,
LVV-19865,301543,DMS-MWBT-REQ-0018-V-01: Collection Layering: Science Platform to external hardware_1,Not Covered,1a
