Issue key,Issue id,Summary,Status,Custom field (Requirement Priority)
LVV-9870,305579,DMS-PRTL-REQ-0019-V-01: Query by Date and Time: Time Range of Observation_1,In Verification,
LVV-9871,299756,DMS-PRTL-REQ-0034-V-01: Access to Original Alert State_1,Covered,
LVV-9872,299751,DMS-PRTL-REQ-0033-V-01: Queries on the Alerts Database_1,Covered,
LVV-9873,299755,DMS-PRTL-REQ-0032-V-01: Query Tabular Data based upon Image MetaData_1,Covered,
LVV-9874,305580,DMS-PRTL-REQ-0031-V-01: Tabular Data Query Specifications_1,In Verification,
LVV-9875,303296,DMS-PRTL-REQ-0039-V-01: Coadded Image Query Specifications_1,Verified,
LVV-9876,305464,DMS-PRTL-REQ-0037-V-01: Query for Single Epoch CCD Image_1,In Verification,
LVV-9877,299754,DMS-PRTL-REQ-0036-V-01: Query for Single Epoch Raft Images_1,Covered,
LVV-9878,305463,DMS-PRTL-REQ-0035-V-01: Query for Single Epoch Visit Images_1,In Verification,
LVV-9879,305462,DMS-PRTL-REQ-0038-V-01: Single-Epoch Image Query Specifications_1,Verified,
LVV-9880,299759,DMS-PRTL-REQ-0041-V-01: Query for Coadded Image Cutouts_1,Covered,
LVV-9881,299765,DMS-PRTL-REQ-0040-V-01: Query for Single Epoch Image Cutouts_1,Covered,
LVV-9882,305465,DMS-PRTL-REQ-0044-V-01: Linking Visualization of Image Data to Tabular Data_1,In Verification,
LVV-9883,305467,DMS-PRTL-REQ-0043-V-01: Visualization of Ancillary Information_1,In Verification,
LVV-9884,305466,DMS-PRTL-REQ-0042-V-01: Visualization of Tabular and Image Data_1,In Verification,
LVV-9885,299761,DMS-PRTL-REQ-0045-V-01: Visualization of Uploaded Tabular and Image Data_1,Covered,
LVV-9886,305468,DMS-PRTL-REQ-0046-V-01: Visualization of Workspace Data_1,In Verification,
LVV-9887,299768,DMS-PRTL-REQ-0048-V-01: Alert Visualization_1,Covered,
LVV-9888,299771,DMS-PRTL-REQ-0047-V-01: Table Row Property Sheet_1,Covered,
LVV-9889,307034,DMS-PRTL-REQ-0050-V-01: Column Selection of Tabular Data_1,Verified,
LVV-9890,299780,DMS-PRTL-REQ-0052-V-01: Copying of Tabular Data_1,Covered,
LVV-9891,307052,DMS-PRTL-REQ-0049-V-01: Display of Tabular Data_1,Verified,
LVV-9892,299786,DMS-PRTL-REQ-0051-V-01: Display Order of Columns of Tabular Data_1,Covered,
LVV-9893,307039,DMS-PRTL-REQ-0054-V-01: Paging of Tabular Data_1,Verified,
LVV-9894,305474,DMS-PRTL-REQ-0053-V-01: Row Selection of Tabular Data_1,In Verification,
LVV-9895,305469,DMS-PRTL-REQ-0056-V-01: Histograms_1,In Verification,
LVV-9896,299774,DMS-PRTL-REQ-0061-V-01: Multiple XY-Plots on the Same Display_1,Covered,
LVV-9897,299789,DMS-PRTL-REQ-0059-V-01: Plot Asymmetric Quantitative Uncertainties_1,Covered,
LVV-9898,299777,DMS-PRTL-REQ-0058-V-01: Plot Quantitative Uncertainties_1,Covered,
LVV-9899,299783,DMS-PRTL-REQ-0060-V-01: Plot Upper and Lower Quantitative Limits_1,Covered,
LVV-9900,299796,"DMS-PRTL-REQ-0057-V-01: Symbol Size, Shape, and Color Coding in XY(Z) Scatter Plots_1",Covered,
LVV-9901,307060,DMS-PRTL-REQ-0055-V-01: XY Scatter Plots_1,Verified,
LVV-9902,299792,DMS-PRTL-REQ-0067-V-01: Display Calibration Image Data Products_1,Covered,
